Source_ID,Source_Sheet,Expected_Record_Count,Expected_Date_Min,Expected_Date_Max,Resource_ID,Revision_ID,Acquisition_Strategy,Revision_Download_URLs,Expected_Curated_Content_SHA256,Known_Independent_Raw_SHA256,Dataset_Page,Upstream_License,Notes
SRC011,2020-07-01_2020-09-30_output,733,2020-07-01,2020-09-28,7c60980c-12b0-4e6f-b28e-9fe6c352af8d,,ckan_resource_show,,00881dc3562c99597c0e4e92927f04193af306be4d5fbf51fc9c14488d36421f,b605bcfc6c208a44734f261763acff735b4d98d5cfd75711ffe39e3087f77901,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC012,2020-10-01_2020-12-31_output,651,2020-10-01,2020-12-22,d7f4a9d5-ed1d-4e64-9e0a-218b1320b6eb,,ckan_resource_show,,5120afe69c96c0a3fa32e56e861d6172d6356240333e60227e23ca6ea9be0b32,eaf6e12def18da688b66a97056ac486c2e4a4a901bd637dda44c266e330c80b4,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC013,2021-01-01_2021-03_31-q1,560,2021-01-04,2021-03-31,7b131035-9867-492b-a3e7-6093b79a0425,,ckan_resource_show,,bef86bab5e5962f45fda87c4470f6847f29fa38f254439d78ae728a50e83a2f6,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC014,2021-04-01_2021-04-30_output,309,2021-04-01,2021-04-28,f756920e-e691-4562-abd1-f9068c956db2,,ckan_resource_show,,15c06a9020b40c47ba0c354c4d39ac5fe0db3bd690b9e602e327d2277e01359e,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC015,2021-05-01_2021-05-31_output,215,2021-05-03,2021-05-28,f2117099-3313-4a45-8848-8b6f1a139688,,ckan_resource_show,,3aafe22bf188bbbb2fdcb3b51ae14af50644b0953d4e1285091fc846d8eb80fd,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC016,2021-06-01_2021-06-30_output,152,2021-06-01,2021-06-25,76978398-425d-4c4a-a461-3725a20ec9b2,,ckan_resource_show,,f2db966c2f9bd418b1198ddb9986d4a7ab3247c9e64fb329c684690b0474c0bb,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC017,2021-07-01_2021-07-31_output,118,2021-07-02,2021-07-27,c883602e-5ffb-4fdb-b369-57c465106249,,ckan_resource_show,,e698d2387e054c9c8ed194dee1d09460b39c83c795fe6f48c23cc1740e13725a,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC018,2021-08-01_2021-08-31_output,82,2021-08-02,2021-08-17,06fdf530-d8fb-4aeb-9b76-d259cb6c9ca8,,ckan_resource_show,,7c5982f4130b25af37cb797cc2ed786d14dfe38400a059e17a362e6af9f71ed3,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC019,2021-09-01_2021-09-30_output,93,2021-09-01,2021-09-22,dface1ed-36c1-403e-aaf8-f666b9fa5834,,ckan_resource_show,,4f0ac6f3137d5c9897bb552fbf3910a6b8fb0c4c895fb11712a4f8d4ad44b93e,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC020,2021-10-01_2021-10-31_output,100,2021-10-04,2021-10-26,feb34a5a-151b-4a67-b6ae-97cefec678e9,,ckan_resource_show,,2975ccba63902f51f8d7ef8a4ed6ab08dbf874a9ee6132cbcbbc0003ed8d68a0,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC021,2021-11-01_2021-11-30_output,70,2021-11-01,2021-11-25,f3103187-10a7-4f65-80bf-211cd8250190,,ckan_resource_show,,d19a577d20d17a454b0c1d8d10dc38e462d23ae5368dd830e80d4bbb91ad63e6,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC022,2021-12-01_2021-12-31_output,283,2021-12-01,2021-12-22,deef55ce-96a5-4aa2-b753-7ffc8855b871,,ckan_resource_show,,f18c7aaa9fd91c582818a0bcd6127a47fbf24779f1baf261a0e4fc0db64d9246,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC023,2022-01-01_2022-01-31_output,148,2022-01-04,2022-01-26,189a4d76-fe15-4562-b819-5f790c7a6a0b,,ckan_resource_show,,3006735f2bd3ab6a442c631d5935bfd189abd006a3bacbc38ce6defa4d5d4932,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC024,2022-02-01_2022-02-28_output,379,2022-02-01,2022-02-23,65ca8bcc-8792-4d96-a8d3-600ee42a80c3,,ckan_resource_show,,76df6bc8651340e3b17f090de676c677dcd584c3bf003a25a0063c602f396f0c,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
SRC025,2022-03-01_2022-03-31_output,184,2022-03-09,2022-03-30,f1ea5cde-2c69-4b97-8203-d9bcbfa32974,,ckan_resource_show,,22f13c851111a3437d9a508aef7a46aec4be16bc79e714dca3f27e27cc69cac0,,https://data.gov.ua/dataset/surface-water-monitoring,Creative Commons Attribution 4.0 International (CC BY 4.0),
